ProdSalesCode,p,d,q,P,D,Q,M
06811105CA_1213,2,0,3,3,0,1,12
06811105CA_1216,2,0,1,2,0,1,0
06811105CA_1259,2,1,1,1,0,3,6
06811105CA_1297,2,0,3,1,1,2,3
06811105CA_1321,1,0,3,3,0,2,0
06811105CA_1328,1,0,1,1,0,1,0
06811105CA_1603,1,1,1,3,1,2,12
06811105CA_1872,3,0,1,3,1,1,12
06811105CA_2002,2,1,1,2,1,3,3
06811105CA_2059,3,1,1,3,0,2,12
06811105CA_2062,3,0,3,2,1,3,6
06811105CA_2065,1,1,1,2,1,2,12
06811105CA_2107,2,1,1,2,1,2,3
06811105CA_2153,2,1,1,2,1,1,3
06811105CA_2217,1,0,2,3,1,3,3
06811105CA_2244,3,0,2,3,0,2,3
06811105CA_2263,2,1,1,3,1,2,9
06811105CA_2354,1,0,1,2,0,2,9
06811105CA_2367,2,0,3,3,1,1,12
06811105CA_2378,2,1,3,1,1,1,9
06811105CA_2406,2,1,1,2,1,1,12
06811105CA_4008,1,1,3,1,0,2,12
06811105CA_7302,3,1,2,1,0,2,12
06811109CA_0000,2,1,2,2,1,2,9
06811109CA_1015,2,0,2,3,1,3,6
06811109CA_1034,3,1,3,2,0,3,9
06811109CA_1078,1,0,1,3,0,2,12
06811109CA_1099,1,1,1,2,1,2,12
06811109CA_1216,1,1,3,2,1,1,12
06811109CA_1230,3,0,1,3,0,1,9
06811109CA_1259,3,1,3,3,1,3,3
06811109CA_1260,1,1,2,3,0,1,6
06811109CA_1274,1,0,3,1,1,3,6
06811109CA_1602,2,0,2,3,1,2,9
06811109CA_1692,2,1,1,2,1,2,6
06811109CA_1889,1,1,1,3,0,3,3
06811109CA_1986,3,1,3,3,1,2,12
06811109CA_2059,3,0,3,3,0,1,6
06811109CA_2062,1,0,2,1,0,1,12
06811109CA_2065,3,1,1,1,1,2,3
06811109CA_2107,1,0,2,3,1,2,9
06811109CA_2137,1,0,1,1,1,2,9
06811109CA_2162,1,1,3,2,0,2,3
06811109CA_2269,2,0,1,2,1,2,3
06811109CA_2331,3,0,2,1,1,1,9
06811109CA_2337,1,0,1,3,1,1,9
06811109CA_2352,3,1,3,3,1,2,12
06811109CA_2369,1,1,2,1,1,1,6
06811109CA_2378,1,0,1,1,1,1,9
06811109CA_4048,3,1,1,3,0,1,9
06818102CA_0000,2,0,1,1,0,1,9
06818102CA_1006,2,0,2,1,1,2,3
06818102CA_1015,3,1,2,3,0,1,12
06818102CA_1034,1,0,3,3,0,2,9
06818102CA_1038,3,1,1,3,1,2,9
06818102CA_1099,1,1,1,3,1,2,12
06818102CA_1216,3,0,2,3,1,1,12
06818102CA_1230,2,0,3,1,1,1,6
06818102CA_2059,2,1,2,3,1,3,6
06818102CA_2062,2,1,3,3,0,1,12
06818102CA_2065,2,0,3,3,1,2,12
06818102CA_2137,1,1,2,1,0,2,3
06818102CA_2153,2,1,1,2,0,1,12
06818102CA_2182,3,1,3,1,1,3,3
06818102CA_2337,1,0,2,3,1,1,12
06818102CA_2352,2,1,3,1,1,1,3
06818102CA_2378,3,0,2,3,1,2,3
06818102CA_2403,1,0,1,3,1,3,6
06818102CA_2406,2,0,3,1,1,2,6
06818102CA_4006,1,1,3,1,1,1,9
06820302CA_1006,3,0,1,1,0,2,12
06820302CA_1019,3,1,1,3,0,3,0
06820302CA_1034,1,0,1,3,0,3,9
06820302CA_1081,1,1,1,2,1,1,3
06820302CA_1099,3,1,2,1,1,2,3
06820302CA_1216,1,0,1,3,1,2,12
06820302CA_1230,3,0,2,1,0,2,12
06820302CA_1235,2,0,3,3,1,1,9
06820302CA_1259,3,0,2,3,0,3,9
06820302CA_1289,1,0,2,3,1,1,12
06820302CA_1603,2,0,1,2,0,1,0
06820302CA_2059,3,0,2,1,1,1,9
06820302CA_2062,2,1,3,2,0,2,6
06820302CA_2065,1,1,3,3,0,2,12
06820302CA_2071,2,0,1,1,0,1,12
06820302CA_2107,3,0,2,3,0,2,12
06820302CA_2174,1,1,2,1,1,3,6
06820302CA_2303,1,1,1,2,0,2,3
06820302CA_2378,3,0,3,3,0,2,6
06820302CA_2389,3,0,1,2,0,2,0
06820302CA_4009,1,0,2,1,0,3,6
